,page,country,rev_id,score
43984,Valeriy Panasenko,Moldova,805993160,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:805993160)', 'type': 'RevisionNotFound'}}"
44042,Edivaldo Holanda Júnior,Brazil,806030859,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806030859)', 'type': 'RevisionNotFound'}}"
44263,Rajah Alon,Philippines,806179522,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806179522)', 'type': 'RevisionNotFound'}}"
44349,Golam Mohammad Rabbani,Bangladesh,806223655,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806223655)', 'type': 'RevisionNotFound'}}"
44606,Mohammed Naguib,Egypt,806372496,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
44655,Phillip Jackson,United States,806403304,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806403304)', 'type': 'RevisionNotFound'}}"
45134,Rajah Gambang,Philippines,806695084,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806695084)', 'type': 'RevisionNotFound'}}"
45342,Olajide Awosedo,Nigeria,806811023,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:806811023)', 'type': 'RevisionNotFound'}}"
45665,William McMahon,Australia,807000274,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
45921,Dirtbag Left,United States,807161510,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807161510)', 'type': 'RevisionNotFound'}}"
46014,Guy Georgias,Zimbabwe,807196681,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
46287,John Rose (Trotskyist),United Kingdom,807336308,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807336308)', 'type': 'RevisionNotFound'}}"
46367,Jalal Movaghar,Iran,807367030,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807367030)', 'type': 'RevisionNotFound'}}"
46368,Mohsen Movaghar,Iran,807367166,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807367166)', 'type': 'RevisionNotFound'}}"
46686,King Gutierrez,Philippines,807479587,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807479587)', 'type': 'RevisionNotFound'}}"
46700,Ajay Kannoujiya,India,807484325,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:807484325)', 'type': 'RevisionNotFound'}}"
